#Created with RMG on Sat Dec  6 22:46:19 2025
#pdos0: total, pdos1,pdos2,pdos3: magnetic rhoa#*_a, *_b, *_c: projected on lattice vectors a,b, c#    x[Angstrom]      E[eV]      pdos

  10.768114  -3.970000 6.131486e-02
  10.879126  -3.970000 6.125586e-02
  10.990137  -3.970000 6.127544e-02
  11.101149  -3.970000 6.137512e-02
  11.212160  -3.970000 6.151034e-02
  11.323172  -3.970000 6.157747e-02
  11.434183  -3.970000 6.155051e-02
  11.545195  -3.970000 6.145000e-02
  11.656206  -3.970000 6.135461e-02
  11.767218  -3.970000 6.146110e-02
  11.878229  -3.970000 6.181304e-02
  11.989241  -3.970000 6.240583e-02
  12.100252  -3.970000 6.299429e-02
  12.211264  -3.970000 6.334074e-02
  12.322275  -3.970000 6.351599e-02
  12.433287  -3.970000 6.366373e-02
  12.544298  -3.970000 6.404648e-02
  12.655310  -3.970000 6.472739e-02
  12.766321  -3.970000 6.557993e-02
  12.877332  -3.970000 6.637021e-02
  12.988344  -3.970000 6.680009e-02
  13.099355  -3.970000 6.682716e-02
  13.210367  -3.970000 6.660372e-02
  13.321378  -3.970000 6.636124e-02
  13.432390  -3.970000 6.622144e-02
  13.543401  -3.970000 6.612406e-02
  13.654413  -3.970000 6.597208e-02
  13.765424  -3.970000 6.559652e-02
  13.876436  -3.970000 6.500526e-02
  13.987447  -3.970000 6.431537e-02
  14.098459  -3.970000 6.376627e-02
  14.209470  -3.970000 6.352418e-02
  14.320482  -3.970000 6.364917e-02
  14.431493  -3.970000 6.410102e-02
  14.542505  -3.970000 6.469916e-02
  14.653516  -3.970000 6.530420e-02
  14.764528  -3.970000 6.572431e-02
  14.875539  -3.970000 6.597989e-02
  14.986551  -3.970000 6.610615e-02

   0.000000  -3.960000 5.395070e-02
   0.111011  -3.960000 5.368162e-02
   0.222023  -3.960000 5.339661e-02
   0.333034  -3.960000 5.329088e-02
   0.444046  -3.960000 5.328972e-02
   0.555057  -3.960000 5.337286e-02
   0.666069  -3.960000 5.342869e-02
   0.777080  -3.960000 5.332502e-02
   0.888092  -3.960000 5.318895e-02
   0.999103  -3.960000 5.293456e-02
   1.110115  -3.960000 5.264722e-02
   1.221126  -3.960000 5.229810e-02
   1.332138  -3.960000 5.195090e-02
   1.443149  -3.960000 5.170841e-02
   1.554161  -3.960000 5.154171e-02
   1.665172  -3.960000 5.154967e-02
   1.776184  -3.960000 5.163417e-02
   1.887195  -3.960000 5.169849e-02
   1.998207  -3.960000 5.171958e-02
   2.109218  -3.960000 5.162762e-02
   2.220230  -3.960000 5.145159e-02
   2.331241  -3.960000 5.125162e-02
   2.442253  -3.960000 5.119269e-02
   2.553264  -3.960000 5.139256e-02
   2.664276  -3.960000 5.176947e-02
   2.775287  -3.960000 5.211754e-02
   2.886299  -3.960000 5.235515e-02
   2.997310  -3.960000 5.240635e-02
   3.108322  -3.960000 5.223655e-02
   3.219333  -3.960000 5.186202e-02
   3.330345  -3.960000 5.121659e-02
   3.441356  -3.960000 5.036749e-02
   3.552368  -3.960000 4.937996e-02
   3.663379  -3.960000 4.847151e-02
   3.774391  -3.960000 4.790602e-02
   3.885402  -3.960000 4.767891e-02
   3.996414  -3.960000 4.782993e-02
   4.107425  -3.960000 4.816717e-02
   4.218437  -3.960000 4.851939e-02
   4.329448  -3.960000 4.879720e-02
   4.440459  -3.960000 4.889312e-02
   4.551471  -3.960000 4.894901e-02
   4.662482  -3.960000 4.893045e-02
   4.773494  -3.960000 4.887878e-02
   4.884505  -3.960000 4.888704e-02
   4.995517  -3.960000 4.890429e-02
   5.106528  -3.960000 4.891939e-02
   5.217540  -3.960000 4.881950e-02
   5.328551  -3.960000 4.854886e-02
   5.439563  -3.960000 4.815365e-02
   5.550574  -3.960000 4.766178e-02
   5.661586  -3.960000 4.715010e-02
   5.772597  -3.960000 4.658968e-02
   5.883609  -3.960000 4.593827e-02
   5.994620  -3.960000 4.526696e-02
   6.105632  -3.960000 4.478375e-02
   6.216643  -3.960000 4.460604e-02
   6.327655  -3.960000 4.477236e-02
   6.438666  -3.960000 4.518581e-02
   6.549678  -3.960000 4.562222e-02
   6.660689  -3.960000 4.594743e-02
   6.771701  -3.960000 4.609158e-02
   6.882712  -3.960000 4.618945e-02
   6.993724  -3.960000 4.644064e-02
   7.104735  -3.960000 4.693281e-02
   7.215747  -3.960000 4.770614e-02
   7.326758  -3.960000 4.860623e-02
   7.437770  -3.960000 4.941557e-02
   7.548781  -3.960000 5.005776e-02
   7.659793  -3.960000 5.055773e-02
   7.770804  -3.960000 5.102753e-02
   7.881816  -3.960000 5.143046e-02
   7.992827  -3.960000 5.168897e-02
   8.103839  -3.960000 5.174959e-02
   8.214850  -3.960000 5.158237e-02
   8.325862  -3.960000 5.121670e-02
   8.436873  -3.960000 5.067082e-02
   8.547884  -3.960000 5.008416e-02
   8.658896  -3.960000 4.952992e-02
   8.769907  -3.960000 4.906768e-02
   8.880919  -3.960000 4.861548e-02
   8.991930  -3.960000 4.794290e-02
   9.102942  -3.960000 4.708090e-02
   9.213953  -3.960000 4.613233e-02
   9.324965  -3.960000 4.546560e-02
   9.435976  -3.960000 4.529186e-02
   9.546988  -3.960000 4.565711e-02
   9.657999  -3.960000 4.645134e-02
   9.769011  -3.960000 4.724770e-02
   9.880022  -3.960000 4.787923e-02
   9.991034  -3.960000 4.824572e-02
  10.102045  -3.960000 4.851980e-02
  10.213057  -3.960000 4.885338e-02
  10.324068  -3.960000 4.924965e-02
  10.435080  -3.960000 4.971814e-02
  10.546091  -3.960000 5.006335e-02
  10.657103  -3.960000 5.023140e-02
  10.768114  -3.960000 5.022921e-02
  10.879126  -3.960000 5.020331e-02
  10.990137  -3.960000 5.019684e-02
  11.101149  -3.960000 5.013838e-02
  11.212160  -3.960000 5.003748e-02
  11.323172  -3.960000 4.988073e-02
  11.434183  -3.960000 4.980184e-02
  11.545195  -3.960000 4.977498e-02
